t,u,y
0.0,0.0,0.0
0.01001001001001001,0.0,0.0
0.02002002002002002,0.0,0.0
0.03003003003003003,0.0,0.0
0.04004004004004004,0.0,0.0
0.050050050050050046,0.0,0.0
0.06006006006006006,0.0,0.0
0.07007007007007007,0.0,0.0
0.08008008008008008,0.0,0.0
0.09009009009009009,0.0,0.0
0.10010010010010009,0.0,0.0
0.11011011011011011,0.0,0.0
0.12012012012012012,0.0,0.0
0.13013013013013014,0.0,0.0
0.14014014014014015,0.0,0.0
0.15015015015015015,0.0,0.0
0.16016016016016016,0.0,0.0
0.17017017017017017,0.0,0.0
0.18018018018018017,0.0,0.0
0.19019019019019018,0.0,0.0
0.20020020020020018,0.0,0.0
0.21021021021021022,0.0,0.0
0.22022022022022023,0.0,0.0
0.23023023023023023,0.0,0.0
0.24024024024024024,0.0,0.0
0.2502502502502503,0.0,0.0
0.2602602602602603,0.0,0.0
0.2702702702702703,0.0,0.0
0.2802802802802803,0.0,0.0
0.2902902902902903,0.0,0.0
0.3003003003003003,0.0,0.0
0.3103103103103103,0.0,0.0
0.3203203203203203,0.0,0.0
0.3303303303303303,0.0,0.0
0.34034034034034033,0.0,0.0
0.35035035035035034,0.0,0.0
0.36036036036036034,0.0,0.0
0.37037037037037035,0.0,0.0
0.38038038038038036,0.0,0.0
0.39039039039039036,0.0,0.0
0.40040040040040037,0.0,0.0
0.41041041041041043,0.0,0.0
0.42042042042042044,0.0,0.0
0.43043043043043044,0.0,0.0
0.44044044044044045,0.0,0.0
0.45045045045045046,0.0,0.0
0.46046046046046046,0.0,0.0
0.47047047047047047,0.0,0.0
0.4804804804804805,0.0,0.0
0.4904904904904905,0.0,0.0
0.5005005005005005,0.0,0.0
0.5105105105105106,0.0,0.0
0.5205205205205206,0.0,0.0
0.5305305305305306,0.0,0.0
0.5405405405405406,0.0,0.0
0.5505505505505506,0.0,0.0
0.5605605605605606,0.0,0.0
0.5705705705705706,0.0,0.0
0.5805805805805806,0.0,0.0
0.5905905905905906,4.0,0.011800765991210938
0.6006006006006006,4.0,0.20759963989257812
0.6106106106106106,4.0,0.395599365234375
0.6206206206206206,4.0,0.576202392578125
0.6306306306306306,4.0,0.749603271484375
0.6406406406406406,4.0,0.9160995483398438
0.6506506506506506,4.0,1.0757999420166016
0.6606606606606606,4.0,1.2290000915527344
0.6706706706706707,4.0,1.3761005401611328
0.6806806806806807,4.0,1.5170001983642578
0.6906906906906907,4.0,1.652200698852539
0.7007007007007007,4.0,1.78179931640625
0.7107107107107107,4.0,1.9058990478515625
0.7207207207207207,4.0,2.024799346923828
0.7307307307307307,4.0,2.1386985778808594
0.7407407407407407,4.0,2.247699737548828
0.7507507507507507,4.0,2.352001190185547
0.7607607607607607,4.0,2.4519004821777344
0.7707707707707707,4.0,2.5472984313964844
0.7807807807807807,4.0,2.638599395751953
0.7907907907907907,4.0,2.725799560546875
0.8008008008008007,4.0,2.809101104736328
0.8108108108108109,4.0,2.8886985778808594
0.8208208208208209,4.0,2.964599609375
0.8308308308308309,4.0,3.036998748779297
0.8408408408408409,4.0,3.106098175048828
0.8508508508508509,4.0,3.1719017028808594
0.8608608608608609,4.0,3.234600067138672
0.8708708708708709,4.0,3.2943992614746094
0.8808808808808809,4.0,3.3512001037597656
