,t,u,y
0,0.0,0.0,0.0
1,0.01001001001001001,0.0,0.0
2,0.02002002002002002,0.0,0.0
3,0.03003003003003003,0.0,0.0
4,0.04004004004004004,0.0,0.0
5,0.050050050050050046,0.0,0.0
6,0.06006006006006006,0.0,0.0
7,0.07007007007007007,0.0,0.0
8,0.08008008008008008,0.0,0.0
9,0.09009009009009009,0.0,0.0
10,0.10010010010010009,0.0,0.0
11,0.11011011011011011,0.0,0.0
12,0.12012012012012012,0.0,0.0
13,0.13013013013013014,0.0,0.0
14,0.14014014014014015,0.0,0.0
15,0.15015015015015015,0.0,0.0
16,0.16016016016016016,0.0,0.0
17,0.17017017017017017,0.0,0.0
18,0.18018018018018017,0.0,0.0
19,0.19019019019019018,0.0,0.0
20,0.20020020020020018,0.0,0.0
21,0.21021021021021022,0.0,0.0
22,0.22022022022022023,0.0,0.0
23,0.23023023023023023,0.0,0.0
24,0.24024024024024024,0.0,0.0
25,0.2502502502502503,0.0,0.0
26,0.2602602602602603,0.0,0.0
27,0.2702702702702703,0.0,0.0
28,0.2802802802802803,0.0,0.0
29,0.2902902902902903,0.0,0.0
30,0.3003003003003003,0.0,0.0
31,0.3103103103103103,0.0,0.0
32,0.3203203203203203,0.0,0.0
33,0.3303303303303303,0.0,0.0
34,0.34034034034034033,0.0,0.0
35,0.35035035035035034,0.0,0.0
36,0.36036036036036034,0.0,0.0
37,0.37037037037037035,0.0,0.0
38,0.38038038038038036,0.0,0.0
39,0.39039039039039036,0.0,0.0
40,0.40040040040040037,0.0,0.0
41,0.41041041041041043,0.0,0.0
42,0.42042042042042044,0.0,0.0
43,0.43043043043043044,0.0,0.0
44,0.44044044044044045,0.0,0.0
45,0.45045045045045046,0.0,0.0
46,0.46046046046046046,0.0,0.0
47,0.47047047047047047,0.0,0.0
48,0.4804804804804805,0.0,0.0
49,0.4904904904904905,0.0,0.0
50,0.5005005005005005,0.0,0.0
51,0.5105105105105106,0.0,0.0
52,0.5205205205205206,0.0,0.0
53,0.5305305305305306,0.0,0.0
54,0.5405405405405406,0.0,0.0
55,0.5505505505505506,0.0,0.0
56,0.5605605605605606,0.0,0.0
57,0.5705705705705706,0.0,0.0
58,0.5805805805805806,0.0,0.0
59,0.5905905905905906,0.0,0.0
60,0.6006006006006006,0.0,0.0
61,0.6106106106106106,0.0,0.0
62,0.6206206206206206,0.0,0.0
63,0.6306306306306306,0.0,0.0
64,0.6406406406406406,0.0,0.0
65,0.6506506506506506,0.0,0.0
66,0.6606606606606606,0.0,0.0
67,0.6706706706706707,0.0,0.0
68,0.6806806806806807,0.0,0.0
69,0.6906906906906907,0.0,0.0
70,0.7007007007007007,0.0,0.0
71,0.7107107107107107,0.0,0.0
72,0.7207207207207207,0.0,0.0
73,0.7307307307307307,0.0,0.0
74,0.7407407407407407,0.0,0.0
75,0.7507507507507507,0.0,0.0
76,0.7607607607607607,0.0,0.0
77,0.7707707707707707,0.0,0.0
78,0.7807807807807807,0.0,0.0
79,0.7907907907907907,0.0,0.0
80,0.8008008008008007,0.0,0.0
81,0.8108108108108109,0.0,0.0
82,0.8208208208208209,0.0,0.0
83,0.8308308308308309,0.0,0.0
84,0.8408408408408409,0.0,0.0
85,0.8508508508508509,0.0,0.0
86,0.8608608608608609,0.0,0.0
87,0.8708708708708709,0.0,0.0
88,0.8808808808808809,0.0,0.0
89,0.8908908908908909,0.0,0.0
90,0.9009009009009009,0.0,0.0
91,0.9109109109109109,0.0,0.0
92,0.9209209209209209,0.0,0.0
93,0.9309309309309309,0.0,0.0
94,0.9409409409409409,0.0,0.0
95,0.950950950950951,0.0,0.0
96,0.960960960960961,0.0,0.0
97,0.970970970970971,0.0,0.0
98,0.980980980980981,0.0,0.0
99,0.990990990990991,0.0,0.0
100,1.001001001001001,0.0,0.0
101,1.011011011011011,0.0,0.0
102,1.021021021021021,0.0,0.0
103,1.031031031031031,0.0,0.0
104,1.0410410410410411,0.0,0.0
105,1.0510510510510511,0.0,0.0
106,1.0610610610610611,0.0,0.0
107,1.0710710710710711,0.0,0.0
108,1.0810810810810811,0.0,0.0
109,1.0910910910910911,0.0,0.0
110,1.1011011011011012,0.0,0.0
111,1.1111111111111112,0.0,0.0
112,1.1211211211211212,0.0,0.0
113,1.1311311311311312,0.0,0.0
114,1.1411411411411412,0.0,0.0
115,1.1511511511511512,0.0,0.0
116,1.1611611611611612,0.0,0.0
117,1.1711711711711712,0.0,0.0
118,1.1811811811811812,0.0,0.0
119,1.1911911911911912,0.0,0.0
120,1.2012012012012012,0.0,0.0
121,1.2112112112112112,0.0,0.0
